fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,tons_2017,tons_2018,tons_2019,tons_2020,tons_2021,tons_2022,tons_2023,tons_2024,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2030,value_2035,value_2040,value_2045,value_2050,current_value_2018,current_value_2019,current_value_2020,current_value_2021,current_value_2022,current_value_2023,current_value_2024,tmiles_2017,tmiles_2018,tmiles_2019,tmiles_2020,tmiles_2021,tmiles_2022,tmiles_2023,tmiles_2024,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,tmiles_2050
,019,139,,,1,,01,1,2,32.685036,33.231730,34.608694,34.854255,35.957386,36.160358,35.819768,35.875993,48.600052,50.376789,53.631886,59.588448,63.578503,47.139553,47.928015,49.913922,50.268080,51.859055,52.151789,51.660577,51.741668,70.092771,72.655246,77.349865,85.940637,91.695240,46.506755,47.507845,43.885460,56.987916,70.618737,72.857009,80.703747,6.762259,6.875365,7.160247,7.211052,7.439280,7.481274,7.410808,7.422441,10.054942,10.422534,11.095986,12.328348,13.153857
,019,209,,,1,,01,1,5,28.100883,28.570902,29.754743,29.965864,30.914278,31.088783,30.795961,30.844301,35.551567,36.021622,38.461971,42.369415,45.025715,74.092598,75.331879,78.453272,79.009928,81.510576,81.970686,81.198615,81.326070,93.737550,94.976926,101.411309,111.713927,118.717698,73.097984,74.671468,68.977907,89.571972,110.996506,114.514559,126.847836,24.467628,24.876877,25.907655,26.091480,26.917270,27.069213,26.814251,26.856341,30.954989,31.364269,33.489098,36.891335,39.204194
,019,280,,,1,,01,1,2,41.617756,42.313859,44.067143,44.379816,45.784429,46.042872,45.609200,45.680792,59.012051,65.580597,76.103554,89.807892,102.031900,73.724525,74.957650,78.063536,78.617427,81.105652,81.563477,80.795241,80.922063,104.537963,116.173933,134.815015,159.091812,180.746250,72.734852,74.300520,68.635243,89.127001,110.445104,113.945680,126.217688,10.385940,10.559657,10.997199,11.075228,11.425757,11.490253,11.382027,11.399894,14.726783,16.366000,18.992062,22.412055,25.462623
,019,299,,,1,,01,1,4,1.808590,1.838841,1.915033,1.928621,1.989662,2.000893,1.982047,1.985158,2.442790,2.582124,2.893929,3.363502,3.763830,10.038190,10.206090,10.628981,10.704398,11.043190,11.105527,11.000925,11.018193,13.558178,14.331526,16.062130,18.668394,20.890331,9.903438,10.116616,9.345243,12.135362,15.037994,15.514625,17.185558,0.922601,0.938033,0.976900,0.983832,1.014970,1.020699,1.011085,1.012672,1.246121,1.317198,1.476256,1.715796,1.920012
,019,319,,,1,,01,1,6,17.113365,17.399605,18.120562,18.249134,18.826715,18.932988,18.754661,18.784099,23.392824,23.821575,25.504930,27.805904,29.403345,45.052692,45.806249,47.704240,48.042720,49.563262,49.843037,49.373571,49.451072,61.584014,62.712745,67.144350,73.201901,77.407328,44.447908,45.404680,41.942657,54.465069,67.492456,69.631640,77.131004,17.624399,17.919187,18.661673,18.794084,19.388913,19.498359,19.314707,19.345024,24.091374,24.532928,26.266551,28.636236,30.281379
,019,350,,,1,,01,1,6,4.803844,4.884194,5.086571,5.122662,5.284794,5.314625,5.264567,5.272831,7.407305,7.498351,7.960317,8.855294,9.508641,8.874522,9.022958,9.396827,9.463501,9.763018,9.818129,9.725653,9.740919,13.684103,13.852298,14.705726,16.359088,17.566068,8.755391,8.943857,8.261904,10.728581,13.294728,13.716107,15.193338,5.901224,5.999929,6.248536,6.292872,6.492041,6.528686,6.467193,6.477345,9.099414,9.211258,9.778754,10.878178,11.680774
,019,379,,,1,,01,1,3,0.020750,0.021097,0.021971,0.022127,0.022827,0.022956,0.022740,0.022776,0.026725,0.030120,0.032932,0.036790,0.039707,0.766989,0.779818,0.812130,0.817892,0.843778,0.848541,0.840549,0.841868,0.987859,1.113338,1.217280,1.359869,1.467720,0.756693,0.772981,0.714043,0.927228,1.149010,1.185428,1.313099,0.009069,0.009220,0.009602,0.009670,0.009976,0.010033,0.009938,0.009954,0.011680,0.013164,0.014393,0.016079,0.017354
,019,402,,,1,,01,1,4,3.905381,3.970703,4.135230,4.164571,4.296379,4.320631,4.279935,4.286653,4.990643,5.153663,5.546022,6.250901,6.779798,11.737975,11.934306,12.428806,12.516993,12.913154,12.986046,12.863732,12.883924,14.999828,15.489800,16.669071,18.787648,20.377297,11.580405,11.829681,10.927690,14.190265,17.584405,18.141745,20.095620,2.635937,2.680027,2.791074,2.810878,2.899842,2.916211,2.888743,2.893277,3.368435,3.478466,3.743288,4.219047,4.576026
,019,409,,,1,,01,1,4,14.935120,15.184927,15.814117,15.926324,16.430389,16.523136,16.367506,16.393198,16.946024,16.721642,17.376671,19.227406,20.467567,40.002827,40.671919,42.357169,42.657709,44.007817,44.256232,43.839388,43.908201,45.388914,44.787919,46.542376,51.499458,54.821158,39.465832,40.315361,37.241389,48.360190,59.927363,61.826771,68.485546,10.741952,10.921623,11.374162,11.454866,11.817411,11.884118,11.772182,11.790661,12.188276,12.026892,12.498015,13.829140,14.721115
,019,473,,,1,,01,1,3,2.901514,2.950045,3.072281,3.094080,3.192007,3.210025,3.179790,3.184781,4.127685,4.422007,4.755715,5.323695,5.738185,4.049963,4.117703,4.288321,4.318748,4.455436,4.480586,4.438384,4.445351,5.761465,6.172282,6.638076,7.430868,8.009418,3.995597,4.081605,3.770390,4.896078,6.067161,6.259461,6.933608,0.879701,0.894415,0.931476,0.938085,0.967775,0.973238,0.964071,0.965584,1.251460,1.340695,1.441871,1.614075,1.739743
,019,479,,,1,,01,1,2,8.960126,9.109994,9.487469,9.554786,9.857193,9.912835,9.819467,9.834880,12.173007,13.463737,14.742241,16.565838,18.010700,12.495769,12.704775,13.231200,13.325080,13.746816,13.824414,13.694204,13.715699,16.976444,18.776492,20.559491,23.102675,25.117676,12.328027,12.593396,11.633173,15.106376,18.719639,19.312961,21.392977,2.128677,2.164281,2.253959,2.269951,2.341795,2.355014,2.332832,2.336494,2.891968,3.198609,3.502346,3.935582,4.278841
,019,484,,,1,,01,1,4,0.153166,0.155728,0.162180,0.163331,0.168501,0.169452,0.167856,0.168119,0.176202,0.174325,0.181628,0.199784,0.212362,0.953577,0.969527,1.009699,1.016863,1.049047,1.054969,1.045032,1.046672,1.096995,1.085306,1.130774,1.243809,1.322120,0.940776,0.961027,0.887751,1.152798,1.428533,1.473811,1.632541,0.104947,0.106702,0.111123,0.111911,0.115454,0.116105,0.115012,0.115192,0.120730,0.119444,0.124448,0.136888,0.145507
,019,489,,,1,,01,1,4,70.100128,71.272631,74.225828,74.752488,77.118389,77.553707,76.823238,76.943825,83.537811,83.094177,87.357994,96.055519,101.978320,225.097366,228.862371,238.345332,240.036482,247.633589,249.031429,246.685833,247.073050,268.246889,266.822343,280.513815,308.442294,327.460894,222.075675,226.856006,209.558655,272.124551,337.213458,347.901494,385.370664,50.630244,51.477092,53.610056,53.990440,55.699226,56.013637,55.486052,55.573146,60.335693,60.015276,63.094843,69.376684,73.654463
,020,020,,,1,,01,1,2,3176.786621,2886.104368,2896.869062,2709.840088,2855.327538,2630.165360,2861.143800,2855.570983,5255.061000,6124.012700,7316.942400,8708.828100,10044.399000,1831.859741,1664.240955,1670.448300,1562.600059,1646.493828,1516.656486,1649.847713,1646.634208,3030.274266,3531.345869,4219.235907,5021.851808,5791.994586,1614.889474,1589.925115,1364.194159,1809.332068,2053.704548,2326.783331,2568.327539,775.293971,704.353041,706.980162,661.335788,696.841963,641.891191,698.261421,696.901376,1282.496308,1494.563750,1785.697942,2125.387294,2451.333035
